video_id,channel,publish_date,title,thumbnail_url,views,likes,comments,image_path
eLYOXdTLGoI,Bookish Bundles for You🌸 ,2026-03-31T02:38:27Z,✨Notebook for you📚   #notebook #aesthetic #journaling #stationeryaddict #planner,https://i.ytimg.com/vi/eLYOXdTLGoI/hqdefault.jpg,1535,110.0,3.0,data/raw/images/eLYOXdTLGoI.jpg
w9po6P65RQU,Amanda Nakano,2026-01-09T17:06:22Z,normalize normal consumption! Part 2 #consumerism #underconsumption #overconsumption,https://i.ytimg.com/vi/w9po6P65RQU/hqdefault.jpg,28771,3068.0,29.0,data/raw/images/w9po6P65RQU.jpg
LOsORhFpy1A,CS CORNER Sunita Rai,2026-03-20T18:55:17Z,Claude Code + Ollama Setup in VS Code (Windows 11) – Free AI Coding Guide 2026,https://i.ytimg.com/vi/LOsORhFpy1A/hqdefault.jpg,9126,245.0,61.0,data/raw/images/LOsORhFpy1A.jpg
XwqI2VES6q0,Celine,2025-04-15T12:01:02Z,🌙 3-HOUR STUDY WITH ME Late at Night | 🎹 Calm Piano Music |✍️ Real Background Noise | Pomodoro 50-10,https://i.ytimg.com/vi/XwqI2VES6q0/hqdefault.jpg,1387267,16071.0,355.0,data/raw/images/XwqI2VES6q0.jpg
-1K_ZWDKpU0,Cole Medin,2026-02-09T15:00:00Z,Claude Code's Agent Teams Are Insane - Multiple AI Agents Coding Together in Real Time,https://i.ytimg.com/vi/-1K_ZWDKpU0/hqdefault.jpg,103998,2039.0,187.0,data/raw/images/-1K_ZWDKpU0.jpg
0KjudXUyU38,Careerwill Reasoning Bharat Sir,2026-02-19T12:45:22Z,UP Police Reasoning Class 2026 | Coding-Decoding | UP Police Reasoning Practice Set 2026 | UP Police,https://i.ytimg.com/vi/0KjudXUyU38/hqdefault.jpg,36776,2413.0,125.0,data/raw/images/0KjudXUyU38.jpg
m48VdPrCH-g,@Aesthetic_girl16_l,2026-03-31T07:10:14Z,Aesthetic bookmark ideas!!🌷#aesthetic #bookmarks#ideas#fyp! #trendy#ytshorts#subscribe,https://i.ytimg.com/vi/m48VdPrCH-g/hqdefault.jpg,1805,43.0,1.0,data/raw/images/m48VdPrCH-g.jpg
eFOZj6S7m8g,Cozy DIY Home,2025-12-06T12:45:14Z,WOW! These 2026 Home Decor Trends Are Everything,https://i.ytimg.com/vi/eFOZj6S7m8g/hqdefault.jpg,106760,2490.0,78.0,data/raw/images/eFOZj6S7m8g.jpg
kIeqQ5_ZL1c,Ciara O Doherty,2025-12-30T17:01:24Z,THE TOP FASHION & STYLE TRENDS for 2026 - What to wear in 2026 / Easy wearable fashion trends part 2,https://i.ytimg.com/vi/kIeqQ5_ZL1c/hqdefault.jpg,102770,3293.0,153.0,data/raw/images/kIeqQ5_ZL1c.jpg
ObOTaxwQzxg,Ankesh'Life,2026-04-01T13:44:17Z,Study with me 📚🥀 *CBSE 12th grader* | first ch done ✅ | #studyvlog#cbse12thgrader#studywithme,https://i.ytimg.com/vi/ObOTaxwQzxg/hqdefault.jpg,1054,24.0,1.0,data/raw/images/ObOTaxwQzxg.jpg
