feature,transformation,difference
brightness,resize_426x240,0.052891154799169726
entropy,resize_426x240,0.004616737365722656
text_length,resize_426x240,0.0
text_count,resize_426x240,0.0
text_presence,resize_426x240,0.0
face_count,resize_426x240,0.0
symmetry,resize_426x240,0.003024287975492812
edge_density,compress,0.004872685185185188
blur,compress,472.20333703365486
corner_count,compress,28.0
contrast,compress,0.08531809828129155
keypoint_count,compress,73.0
colorfulness,compress,1.1460357951232965
brightness,compress,0.014265046296287665
entropy,compress,0.0204010009765625
text_length,compress,0.0
text_count,compress,0.0
text_presence,compress,0.0
face_count,compress,0.0
symmetry,compress,0.00055532861292662
edge_density,blur,0.04105902777777777
blur,blur,1264.3734611115128
corner_count,blur,24.0
contrast,blur,1.7124114886270831
keypoint_count,blur,1634.0
colorfulness,blur,0.05059639266478655
brightness,blur,0.001990740740737351
entropy,blur,0.011301994323730469
text_length,blur,0.0
text_count,blur,0.0
text_presence,blur,0.0
face_count,blur,0.0
symmetry,blur,0.008160130718954273
edge_density,noise,0.2763773148148148
blur,noise,79010.66105849632
corner_count,noise,468.0
contrast,noise,6.111414846883122
keypoint_count,noise,1100.0
colorfulness,noise,4.993876839149451
brightness,noise,88.92083333333333
entropy,noise,0.2555842399597168
text_length,noise,0.0
text_count,noise,0.0
text_presence,noise,0.0
face_count,noise,0.0
symmetry,noise,0.12659277414669567
edge_density,resize_640x360,0.008939525462962956
blur,resize_640x360,380.71284452269543
corner_count,resize_640x360,34.0
contrast,resize_640x360,0.2761628526783966
keypoint_count,resize_640x360,197.0
colorfulness,resize_640x360,0.008085286723655827
brightness,resize_640x360,0.007258391203691872
entropy,resize_640x360,0.014229774475097656
text_length,resize_640x360,0.0
text_count,resize_640x360,0.0
text_presence,resize_640x360,0.0
face_count,resize_640x360,0.0
symmetry,resize_640x360,0.0009643359658678685
edge_density,resize_480x270,0.00576774691358025
blur,resize_480x270,28.270113423845828
corner_count,resize_480x270,43.0
contrast,resize_480x270,0.12357762387249238
keypoint_count,resize_480x270,743.0
colorfulness,resize_480x270,0.04372858230904342
brightness,resize_480x270,0.009683641975300361
entropy,resize_480x270,0.0012068748474121094
text_length,resize_480x270,0.0
text_count,resize_480x270,0.0
text_presence,resize_480x270,0.0
face_count,resize_480x270,0.0
symmetry,resize_480x270,0.0006758956669087324
edge_density,resize_320x180,0.02382523148148149
blur,resize_320x180,167.6212675327463
corner_count,resize_320x180,105.0
contrast,resize_320x180,0.5584128171966256
keypoint_count,resize_320x180,1890.0
colorfulness,resize_320x180,0.07885727191360559
brightness,resize_320x180,0.030324074074073337
entropy,resize_320x180,0.016228199005126953
text_length,resize_320x180,0.0
text_count,resize_320x180,0.0
text_presence,resize_320x180,0.0
face_count,resize_320x180,0.0
symmetry,resize_320x180,0.0019149419026870396
edge_density,resize_240x135,0.04023533950617284
blur,resize_240x135,602.1985980338997
corner_count,resize_240x135,141.0
contrast,resize_240x135,0.703221295715494
keypoint_count,resize_240x135,2362.0
colorfulness,resize_240x135,0.09007224989734652
brightness,resize_240x135,0.05950617283950521
entropy,resize_240x135,0.005540370941162109
text_length,resize_240x135,0.0
text_count,resize_240x135,0.0
text_presence,resize_240x135,0.0
face_count,resize_240x135,0.0
symmetry,resize_240x135,0.0019041091745339855
edge_density,resize_160x90,0.07519675925925925
blur,resize_160x90,2344.7079211315595
corner_count,resize_160x90,170.0
contrast,resize_160x90,0.053533255564374826
keypoint_count,resize_160x90,2741.0
colorfulness,resize_160x90,0.0734823806926812
brightness,resize_160x90,0.7696759259259238
entropy,resize_160x90,0.008518218994140625
text_length,resize_160x90,0.0
text_count,resize_160x90,0.0
text_presence,resize_160x90,0.0
face_count,resize_160x90,0.0
symmetry,resize_160x90,0.00029675018155406185
edge_density,resize_426x240,0.009458300730307775
blur,resize_426x240,159.48810067456805
corner_count,resize_426x240,62.0
contrast,resize_426x240,0.45423914242513774
keypoint_count,resize_426x240,1208.0
colorfulness,resize_426x240,0.025526882743662327
brightness,resize_426x240,0.06508346374543805
entropy,resize_426x240,0.02219104766845703
text_length,resize_426x240,0.0
text_count,resize_426x240,0.0
text_presence,resize_426x240,0.0
face_count,resize_426x240,0.0
symmetry,resize_426x240,0.001487090480427944
edge_density,compress,0.0071701388888888926
blur,compress,289.72427652422107
corner_count,compress,29.0
contrast,compress,0.16055730491780196
keypoint_count,compress,388.0
colorfulness,compress,0.05807039557663529
brightness,compress,0.018373842592581013
entropy,compress,0.07024192810058594
text_length,compress,0.0
text_count,compress,0.0
text_presence,compress,0.0
face_count,compress,0.0
symmetry,compress,0.0009108115468409173
edge_density,blur,0.01575231481481481
blur,blur,614.3759402304568
corner_count,blur,4.0
contrast,blur,1.2402827508642105
keypoint_count,blur,994.0
colorfulness,blur,0.11529901962133238
brightness,blur,0.006255787037034111
entropy,blur,0.057826995849609375
text_length,blur,0.0
text_count,blur,0.0
text_presence,blur,0.0
face_count,blur,0.0
symmetry,blur,0.005603440450254182
edge_density,noise,0.2760127314814815
blur,noise,65011.23493372047
corner_count,noise,580.0
contrast,noise,1.9724843431528853
keypoint_count,noise,1579.0
colorfulness,noise,7.0596557489777325
brightness,noise,76.81907407407408
entropy,noise,0.2365398406982422
text_length,noise,0.0
text_count,noise,0.0
text_presence,noise,0.0
face_count,noise,0.0
symmetry,noise,0.15508369644153952
edge_density,resize_640x360,0.015163483796296298
blur,resize_640x360,1267.1951523089726
corner_count,resize_640x360,125.0
contrast,resize_640x360,0.43641131400266886
keypoint_count,resize_640x360,265.0
colorfulness,resize_640x360,0.033743093565277604
brightness,resize_640x360,0.0373524305555577
entropy,resize_640x360,0.0010714530944824219
text_length,resize_640x360,0.0
text_count,resize_640x360,0.0
text_presence,resize_640x360,0.0
face_count,resize_640x360,0.0
symmetry,resize_640x360,0.0016805101670297473
edge_density,resize_480x270,0.005370370370370373
blur,resize_480x270,177.5458271109551
corner_count,resize_480x270,85.0
contrast,resize_480x270,0.35595199765262464
keypoint_count,resize_480x270,617.0
colorfulness,resize_480x270,0.026649046520958564
brightness,resize_480x270,0.004027777777764641
entropy,resize_480x270,0.0055179595947265625
text_length,resize_480x270,0.0
text_count,resize_480x270,0.0
text_presence,resize_480x270,0.0
face_count,resize_480x270,0.0
symmetry,resize_480x270,0.0015505628177198139
edge_density,resize_320x180,0.017609953703703704
blur,resize_320x180,29.75524911158209
corner_count,resize_320x180,266.0
contrast,resize_320x180,0.9492758414352807
keypoint_count,resize_320x180,2424.0
colorfulness,resize_320x180,0.02890821521094722
brightness,resize_320x180,0.009409722222230243
entropy,resize_320x180,0.0011692047119140625
text_length,resize_320x180,0.0
text_count,resize_320x180,0.0
text_presence,resize_320x180,0.0
face_count,resize_320x180,0.0
symmetry,resize_320x180,0.0034113108206245135
edge_density,resize_240x135,0.03300925925925925
blur,resize_240x135,1477.54328944908
corner_count,resize_240x135,340.0
contrast,resize_240x135,0.8786994360050642
keypoint_count,resize_240x135,3392.0
colorfulness,resize_240x135,0.06993122221905423
brightness,resize_240x135,0.11152006172838469
entropy,resize_240x135,0.013125419616699219
text_length,resize_240x135,0.0
text_count,resize_240x135,0.0
text_presence,resize_240x135,0.0
face_count,resize_240x135,1.0
symmetry,resize_240x135,0.004077372306947491
edge_density,resize_160x90,0.07474537037037036
blur,resize_160x90,5902.019487180942
corner_count,resize_160x90,405.0
contrast,resize_160x90,0.6450857141667683
keypoint_count,resize_160x90,4050.0
colorfulness,resize_160x90,0.05174259923646218
brightness,resize_160x90,0.15680555555556452
entropy,resize_160x90,0.011472225189208984
text_length,resize_160x90,0.0
text_count,resize_160x90,0.0
text_presence,resize_160x90,0.0
face_count,resize_160x90,2.0
symmetry,resize_160x90,0.0004040486564995671
edge_density,resize_426x240,0.0055933750652060465
blur,resize_426x240,712.4586298504071
corner_count,resize_426x240,159.0
contrast,resize_426x240,0.8158807509898338
keypoint_count,resize_426x240,1171.0
colorfulness,resize_426x240,0.047708576153894455
brightness,resize_426x240,0.07552914710484515
entropy,resize_426x240,0.0021038055419921875
text_length,resize_426x240,0.0
text_count,resize_426x240,0.0
text_presence,resize_426x240,0.0
face_count,resize_426x240,0.0
symmetry,resize_426x240,0.0026621930201397026
edge_density,compress,0.019612268518518508
blur,compress,2075.2836547301326
corner_count,compress,74.0
contrast,compress,0.2584405737048314
keypoint_count,compress,63.0
colorfulness,compress,1.051085863480452
brightness,compress,0.01986689814815179
entropy,compress,0.02969646453857422
text_length,compress,0.0
text_count,compress,0.0
text_presence,compress,0.0
face_count,compress,0.0
symmetry,compress,0.0013427287581698755
